#List - Depth of Reading below Surface - Latest @ 2022-02-02 11:26 (UTC-07:00),,,,,,
Data Set Id,Location,Location Folder,Start of Record,End of Record,Value,Status
Well Depth.well@17-60-29cbd,Larson No. 1,All Locations.Ground Water.Laramie County,1997-03-10 15:00:00,2004-03-09 15:00:00,-104.108,-
Well Depth.well@19-61-10aab,LaGrange No.1,All Locations.Ground Water.Lagrange Area,1980-09-23 07:00:00,2018-11-28 14:00:00,-104.17306,-
Well Depth.NorthWellvisits@20-61-15-ada2,Northwell,All Locations.Ground Water.Lagrange Area,1980-05-29 07:00:00,2014-11-05 16:18:00,-104.17044,-
Well Depth.Well@40-116-29cbb,TC-15,All Locations.Ground Water.Teton County,1997-09-18 19:00:00,2004-11-16 19:00:00,-110.79083,-
Well Depth.Well@41-117-22cca,TC-2,All Locations.Ground Water.Teton County,1997-09-18 19:00:00,2004-11-15 22:10:00,-110.87639,-
Well Depth.Hunt1.csv Depth@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2013-10-15 06:00:00,0,-
Well Depth.Well8@Test,Test,All Locations.Ground Water.Test,,,0,-
Well Depth.Calculated DTW@25-68-15bbd,Platte County #6,All Locations.Ground Water.Platte County,2015-04-01 20:00:00,2017-05-03 20:00:00,-105.00111,-
Well Depth.Well@32-72-33daa,Ridgewater No. 1,All Locations.Ground Water.Converse County,1991-05-14 23:00:00,1994-01-21 22:00:00,-105.48028,-
Well Depth.Well@40-117-25bac,TC-10,All Locations.Ground Water.Teton County,,,-110.82639,-
Well Depth.Well@49-72-04ada,South Campus No. 1,All Locations.Ground Water.Gillette Area,2002-05-22 18:00:00,2019-10-30 21:00:00,-105.51083,-
Well Depth.Well7@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2011-05-11 15:00:00,0,-
Well Depth.well@20-61-35aab,South Field Well,All Locations.Ground Water.Lagrange Area,1980-04-30 07:00:00,2013-11-14 07:00:00,-104.15299,-
Well Depth.Well@42-117-36bba,TCTC-4,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-11-17 00:10:00,-110.82222,-
Well Depth.Well@53-60-16dba02,CCMOW-2A (Minnelusa),All Locations.Ground Water.Madison,1991-10-31 07:00:00,2015-11-18 22:00:00,-104.05706,-
Well Depth.Well@54-61-28caa,Aladdin Water Dist. No. 1,All Locations.Ground Water.Madison,1995-09-06 19:00:00,2013-06-20 18:45:00,-104.18336,-
Well Depth.well@14-66-23ddd,Laramie County No. 15,All Locations.Ground Water.Laramie County,1986-04-25 19:00:00,2001-10-01 19:00:00,-104.73194,-
